"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C21,C22,C18,C19";"C_0402_1005Metric";4;"4.7u";;;
2;"SW2";"SW_SPST_PTS647_Sx38";1;"BOOTSEL";;;
3;"C31,C20,C27,C25,C23,C33,C28,C29,C26,C34,C36,C30,C35,C32";"C_0402_1005Metric";14;"100n";;;
4;"C14,C3,C8,C11,C4,C24,C5,C15,C10";"C_0805_2012Metric";9;"10u";;;
5;"D3,UD4";"LED_0805_2012Metric";2;"BLUE";;;
6;"L1";"L_0805_2012Metric";1;"1.5u";;;
7;"R9,R25,R3,R33,R8,R34,R36,R35,R4,R2,R29,R37";"R_0402_1005Metric";12;"10k";;;
8;"UD3,PD2,CD1";"LED_0805_2012Metric";3;"GREEN";;;
9;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
10;"C2,C7,C9,C12";"C_0402_1005Metric";4;"0.1u";;;
11;"R15,R17,R14,R19,R26,R23,R27,R11,R7";"R_0402_1005Metric";9;"1k";;;
12;"R16";"R_0402_1005Metric";1;"33";;;
13;"U3";"BGA12N40P4X3_168X128X62";1;"TPS63051YFFR";;;
14;"PD1,UD1,CD2";"LED_0805_2012Metric";3;"RED";;;
15;"U2";"SOT-666";1;"USBLC6-2P6";;;
16;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
17;"C16,C17";"C_0402_1005Metric";2;"15p";;;
18;"SW5";"SW_SPST_PTS647_Sx38";1;"RIGHT";;;
19;"SW3";"SW_SPST_PTS647_Sx38";1;"RESET";;;
20;"J3";"GCT_MEM2067-02-180-00-A_REVB";1;"MEM2067-02-180-00-A_REVB";;;
21;"D1";"LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm";1;"Inolux_IN-P55TATRGB";;;
22;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
23;"R6,R1,R18";"R_0402_1005Metric";3;"5.1k";;;
24;"R13";"R_0402_1005Metric";1;"1M";;;
25;"J5,J4";"CON_522072460_MOL";2;"522072460";;;
26;"R5";"R_0402_1005Metric";1;"100k";;;
27;"U6";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
28;"CR1";"CR_60JFILM_STM";1;"BAT60JFILM";;;
29;"Q1";"SOT-23";1;"DMP3099L";;;
30;"C13";"C_0402_1005Metric";1;"1n";;;
31;"R31,R30";"R_0402_1005Metric";2;"22";;;
32;"U4";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"TP4056-42-ESOP8";;;
33;"SW4";"SW_SPST_PTS647_Sx38";1;"LEFT";;;
34;"R22,R21";"R_0402_1005Metric";2;"27";;;
35;"Y1";"Oscillator_SMD_SeikoEpson_SG3030CM";1;"SG-3030CM";;;
36;"R24";"R_0402_1005Metric";1;"2k";;;
37;"R10,R20";"R_0402_1005Metric";2;"3k";;;
38;"UD2";"LED_0805_2012Metric";1;"YELLOW";;;
39;"C6";"C_0402_1005Metric";1;"1u";;;
40;"SW1";"SW_SPDT_PCM12";1;"SW_SPDT";;;
41;"U5";"TQFP-80-1EP_14x14mm_P0.65mm_EP9.5x9.5mm_ThermalVias";1;"RP2350_80QFN";;;
42;"D2";"D_SOD-123F";1;"BZT52B5V1";;;
43;"R32";"R_0402_1005Metric";1;"270";;;
44;"R12";"R_0402_1005Metric";1;"1.2k";;;
45;"L2";"L_0805_2012Metric";1;"3.3u";;;
46;"U1";"IC_BNO085";1;"BNO085";;;
47;"R28";"R_0402_1005Metric";1;"510";;;
48;"J7";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";1;"Conn_01x06_Pin";;;
49;"C1";"C_0805_2012Metric";1;"0.1u";;;
50;"J2";"GCT_USB4110GFA";1;"USB4110GFA";;;
