Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C14, C2, C23, C3, C5, C7",0805,8,10u,C1713
"C15, C16",0402,2,15p,C1548
"C17, C18, C20, C21",0402,4,4.7u,C76995
"C19, C22, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35",0402,14,100n,C1525
C4,0402,1,10u,C15525
C6,0402,1,1u,C52923
C9,0402,1,1n,C1523
"CD1, PD2, UD3",0805,3,GREEN,C2297
"CD2, UD2",0805,2,YELLOW,C2296
"CD3, UD4",0805,2,BLUE,C2293
CR1,CR_60JFILM_STM,1,BAT60JFILM,C133103
D1,LED_QBL8RGB60D0-2897,1,QBL8RGB60D0-2897,C330749
D2,D_SOD-123F,1,BZT52B5V1,C78479
J1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,JST 1x02,C160262
J10,PinHeader_1x24_P2.54mm_Vertical,1,Conn_01x24_Pin,C7430380
"J11, J12, J5, J6",CON_522072460_MOL,4,522072460,C5409332
"J13, J14, J7, J8",CON_522712469_MOL,4,522712469,C5409332
"J15, J16",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,C37208
J2,GCT_USB4125-GF-A_REVA2,1,USB4125-GF-A_REVA2,C3151650
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C22438287
J4,GCT_MEM2075-00-140-01-A,1,MEM2075-00-140-01-A,C3029735
J9,PinHeader_1x06_P2.54mm_Vertical,1,Conn 1x06_Pin,C37208
L1,0805,1,1.5u,C139220
L2,0805,1,3.3u,C51725
"PD1, UD1",0805,2,RED,C84256
Q1,SOT-23,1,DMP3099L,C2940610
"R1, R14, R28",0402,3,5.1k,C25905
"R10, R11, R12, R16, R18, R2, R33, R37, R6, R8, R9",0402,11,10k,C25744
"R17, R21, R24, R25, R27, R29, R31, R34, R35",0402,9,1k,C11702
"R19, R30",0402,2,3k,C25559
R22,0402,1,1.2k,C25862
R23,0402,1,1M,C26083
R26,0402,1,33,C25105
R3,0402,1,68,C25131
R32,0402,1,2k,C4109
R36,0402,1,510,C25123
R4,0402,1,470,C25117
R5,0402,1,22,C25092
R7,0402,1,100k,C25741
SW1,SW_SPDT_PCM12,1,SW_SPDT,C221841
SW2,SW_SPST_PTS647_Sx38,1,BOOTSEL,C2689502
SW3,SW_SPST_PTS647_Sx38,1,RESET,C2689502
SW4,SW_SPST_PTS647_Sx38,1,LEFT,C2689502
SW5,SW_SPST_PTS647_Sx38,1,RIGHT,C2689502
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U3,QFN50P250X250X100-12N,1,TPS63051RMWR,C139412
U4,TQFP-80-1EP_14x14mm_P0.65mm_EP9.5x9.5mm_ThermalVias,1,RP2350_80QFN,C42415655
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
