Designator,Mid X,Mid Y,Rotation,Layer
C1,170.75,-143.7,0.0,top
C10,169.99875,-110.9125,0.0,top
C11,160.81875,-107.8325,90.0,top
C12,155.9,-56.8,270.0,top
C13,161.73875,-114.1125,180.0,top
C14,166.65,-55.25,180.0,top
C15,142.0,-100.92,270.0,top
C16,144.92,-104.2,180.0,top
C17,154.4,-74.02,90.0,top
C18,150.2,-72.92,90.0,top
C19,149.2,-104.62,270.0,top
C2,134.55,-56.6,0.0,top
C20,152.8,-74.02,90.0,top
C21,155.22,-78.7,0.0,top
C22,158.02,-93.7,0.0,top
C23,141.8,-31.05,270.0,top
C24,146.5,-65.32,90.0,top
C25,112.78,-82.9,0.0,top
C26,117.48,-43.0,0.0,top
C27,117.38,-103.0,0.0,top
C28,125.6,-45.32,270.0,top
C29,159.12,-145.9,180.0,top
C3,146.45,-49.0,0.0,top
C30,135.88,-41.2,0.0,top
C31,154.88,-95.4,0.0,top
C32,137.8,-99.08,270.0,top
C33,138.72,-75.7,180.0,top
C34,169.0,-129.62,90.0,top
C35,162.88,-145.9,0.0,top
C4,128.0,-36.12,270.0,top
C5,167.45,-67.2,0.0,top
C6,154.22,-43.8,0.0,top
C7,158.2,-48.2,90.0,top
C8,167.63875,-105.7125,0.0,top
C9,162.8,-54.27,90.0,top
CD1,163.7,-33.9375,90.0,top
CD2,166.2,-33.8375,90.0,top
CD3,141.5625,-25.0,0.0,top
CR1,153.9,-28.9824,90.0,top
D1,114.476025,-87.0,180.0,top
D2,164.9,-42.4,270.0,top
J1,174.7,-43.25,270.0,top
J10,189.2419,-87.495,180.0,top
J11,212.775,-105.050025,90.0,top
J12,212.8,-69.950025,90.0,top
J13,212.725,-105.049985,270.0,bottom
J14,212.7,-69.949975,270.0,bottom
J2,157.3,-24.0,180.0,top
J3,175.3,-132.0,90.0,top
J4,127.3,-22.0,180.0,top
J5,111.5,-117.0,270.0,top
J6,111.500003,-57.0,270.0,top
J7,111.6,-57.0,90.0,bottom
J8,111.6,-117.0,90.0,bottom
J9,142.3,-155.0,90.0,top
L1,155.2,-51.9875,270.0,top
L2,150.2375,-76.4,0.0,top
PD1,148.9,-33.9625,90.0,top
PD2,145.7,-33.9875,90.0,top
Q1,168.9375,-42.0,0.0,top
R1,157.8,-27.31,90.0,top
R10,161.30875,-109.6125,0.0,top
R11,132.4,-40.69,90.0,top
R12,131.1,-40.69,90.0,top
R13,169.61875,-109.1225,90.0,top
R14,156.2,-27.31,270.0,top
R15,165.91875,-104.5025,270.0,top
R16,133.7,-40.69,90.0,top
R17,163.7,-30.265,270.0,top
R18,162.8,-51.44,270.0,top
R19,166.21,-30.275,270.0,top
R2,126.9,-40.71,90.0,top
R20,164.80875,-116.6125,180.0,top
R21,142.99,-23.0,0.0,top
R22,150.0,-38.99,90.0,top
R23,166.71,-52.95,0.0,top
R24,164.175,-91.99,270.0,top
R25,147.8,-100.99,270.0,top
R26,153.49,-76.8,180.0,top
R27,164.175,-88.49,270.0,top
R28,148.9,-30.615,270.0,top
R29,145.7,-30.615,270.0,top
R3,119.49,-85.2,0.0,top
R30,153.1,-131.9625,270.0,top
R31,152.0,-155.09,270.0,top
R32,156.1,-131.9625,270.0,top
R33,159.11,-147.8,0.0,top
R34,159.1,-131.9625,270.0,top
R35,169.7,-155.09,270.0,top
R36,162.1,-131.9625,270.0,top
R37,162.89,-147.8,180.0,top
R4,119.476025,-87.0,0.0,top
R5,119.51,-88.8,0.0,top
R6,125.6,-40.69,90.0,top
R7,169.9,-45.39,270.0,top
R8,162.21875,-112.2225,90.0,top
R9,124.4,-40.69,90.0,top
SW1,144.3,-19.5,180.0,top
SW2,169.1,-87.4,0.0,top
SW3,169.1,-93.1,0.0,top
SW4,156.95,-154.0,180.0,top
SW5,164.95,-154.0,180.0,top
U1,165.66875,-108.85,180.0,top
U2,155.4,-40.1,270.0,top
U3,159.115,-52.7,0.0,top
U4,146.476025,-87.0,270.0,top
U5,142.9,-69.7,270.0,top
UD1,153.1,-134.9625,90.0,top
UD2,156.1,-134.9625,90.0,top
UD3,159.1,-134.9625,90.0,top
UD4,162.1,-134.9625,90.0,top
Y1,165.59375,-114.1125,0.0,top
Y2,144.95,-101.0,270.0,top
